task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
mod_fNIRS-only_anova_LR,14,2,4,anova,LR,False,50,"{""C"": 1.0}",,0.4642857142857143,0.47032436162870944,0.5334355233321398,"[[5, 5, 2], [4, 5, 0], [2, 2, 3]]"
mod_fNIRS-only_anova_LR,15,3,0,anova,LR,True,10,"{""C"": 1}",0.6691345423762868,0.41379310344827586,0.34313725490196073,0.4848336848336848,"[[9, 2, 2], [7, 1, 1], [5, 0, 2]]"
mod_fNIRS-only_anova_LR,15,3,0,anova,LR,False,50,"{""C"": 1.0}",,0.4482758620689655,0.4275985663082437,0.6712990712990713,"[[8, 3, 2], [7, 2, 0], [3, 1, 3]]"
mod_fNIRS-only_anova_LR,16,3,1,anova,LR,True,20,"{""C"": 1}",0.6897263346707742,0.3793103448275862,0.32222616093583833,0.5777551152551151,"[[8, 3, 2], [6, 1, 2], [4, 1, 2]]"
mod_fNIRS-only_anova_LR,16,3,1,anova,LR,False,50,"{""C"": 1.0}",,0.4482758620689655,0.4568627450980392,0.6680259555259555,"[[5, 4, 4], [4, 4, 1], [3, 0, 4]]"
mod_fNIRS-only_anova_LR,17,3,2,anova,LR,True,500,"{""C"": 0.01}",0.6595339854083221,0.4482758620689655,0.3797979797979798,0.6281792281792281,"[[10, 3, 0], [7, 1, 1], [3, 2, 2]]"
mod_fNIRS-only_anova_LR,17,3,2,anova,LR,False,50,"{""C"": 1.0}",,0.6206896551724138,0.5972222222222222,0.701876826876827,"[[10, 1, 2], [4, 5, 0], [3, 1, 3]]"
mod_fNIRS-only_anova_LR,18,3,3,anova,LR,True,500,"{""C"": 0.1}",0.6733908996342323,0.6206896551724138,0.6216931216931217,0.7811719584165404,"[[9, 2, 1], [5, 5, 0], [2, 1, 4]]"
mod_fNIRS-only_anova_LR,18,3,3,anova,LR,False,50,"{""C"": 1.0}",,0.4827586206896552,0.4904761904761905,0.7504782455246851,"[[8, 4, 0], [7, 3, 0], [1, 3, 3]]"
mod_fNIRS-only_anova_LR,19,3,4,anova,LR,True,100,"{""C"": 0.01}",0.7341767348967871,0.4642857142857143,0.4465237166991553,0.6374324949277956,"[[7, 5, 0], [4, 4, 1], [4, 1, 2]]"
mod_fNIRS-only_anova_LR,19,3,4,anova,LR,False,50,"{""C"": 1.0}",,0.4642857142857143,0.4783549783549783,0.6717693290766599,"[[4, 6, 2], [3, 5, 1], [3, 0, 4]]"
mod_fNIRS-only_anova_LR,20,4,0,anova,LR,True,500,"{""C"": 10}",0.6548541525986344,0.5862068965517241,0.5892857142857143,0.8193362193362193,"[[8, 2, 3], [4, 5, 0], [3, 0, 4]]"
mod_fNIRS-only_anova_LR,20,4,0,anova,LR,False,50,"{""C"": 1.0}",,0.5517241379310345,0.5860651629072682,0.7871276871276871,"[[6, 6, 1], [5, 4, 0], [1, 0, 6]]"
mod_fNIRS-only_anova_LR,21,4,1,anova,LR,True,100,"{""C"": 10}",0.6893781869767294,0.20689655172413793,0.20102120102120102,0.41914104414104414,"[[3, 9, 1], [5, 2, 2], [5, 1, 1]]"
mod_fNIRS-only_anova_LR,21,4,1,anova,LR,False,50,"{""C"": 1.0}",,0.3448275862068966,0.3393162393162393,0.5567562067562067,"[[5, 7, 1], [4, 3, 2], [4, 1, 2]]"
mod_fNIRS-only_anova_LR,22,4,2,anova,LR,True,100,"{""C"": 0.01}",0.6936586897809058,0.5172413793103449,0.3814814814814815,0.7023014023014023,"[[11, 2, 0], [5, 4, 0], [7, 0, 0]]"
mod_fNIRS-only_anova_LR,22,4,2,anova,LR,False,50,"{""C"": 1.0}",,0.3793103448275862,0.3761904761904762,0.5219673844673846,"[[6, 7, 0], [5, 3, 1], [4, 1, 2]]"
mod_fNIRS-only_anova_LR,23,4,3,anova,LR,True,500,"{""C"": 0.01}",0.6428176158324156,0.5172413793103449,0.4481481481481482,0.6460835689937857,"[[11, 0, 1], [8, 2, 0], [5, 0, 2]]"
mod_fNIRS-only_anova_LR,23,4,3,anova,LR,False,50,"{""C"": 1.0}",,0.3448275862068966,0.3452380952380953,0.6287858684143514,"[[5, 4, 3], [7, 2, 1], [4, 0, 3]]"
mod_fNIRS-only_anova_LR,24,4,4,anova,LR,True,100,"{""C"": 0.1}",0.6692777471306508,0.5,0.5018181818181818,0.650217433464614,"[[7, 4, 1], [5, 4, 0], [1, 3, 3]]"
mod_fNIRS-only_anova_LR,24,4,4,anova,LR,False,50,"{""C"": 1.0}",,0.4642857142857143,0.4348884381338743,0.6199607401440108,"[[8, 3, 1], [6, 3, 0], [3, 2, 2]]"
