block,mean,std,ci_lo,ci_hi
EEG,0.0755232893451823,0.04218443401719288,0.05811041080694697,0.09293616788341764
fNIRS,0.2444258448442355,0.04291952089677569,0.2267095373553116,0.2621421523331593
