task,fold_id,repeat,fold,fs,clf,tuned,k,params,inner_auc,acc,f1,auc,cm
three_class,1,0,1,none,LASSO,True,4968,"{""C"": 0.1}",0.7035315432521806,0.5172413793103449,0.5164587046939988,0.6846491471491473,"[[8, 4, 1], [5, 4, 0], [4, 0, 3]]"
three_class,1,0,1,none,LASSO,False,4968,"{""C"": 1.0}",,0.4482758620689655,0.449270990447461,0.6253612128612129,"[[6, 4, 3], [5, 3, 1], [2, 1, 4]]"
three_class,1,0,1,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8132217830211169,0.6551724137931034,0.6666666666666666,0.8148693898693898,"[[10, 3, 0], [5, 4, 0], [2, 0, 5]]"
three_class,1,0,1,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6206896551724138,0.641537074599955,0.7996392496392497,"[[9, 4, 0], [5, 4, 0], [2, 0, 5]]"
three_class,1,0,1,none,SVM,True,4968,"{""C"": 10, ""gamma"": ""scale""}",0.7010983561680781,0.4482758620689655,0.4521170787155442,0.6833670958670958,"[[5, 5, 3], [4, 3, 2], [1, 1, 5]]"
three_class,1,0,1,none,SVM,False,4968,"{""C"": 1.0, ""gamma"": ""scale""}",,0.5517241379310345,0.450347881087919,0.6608960483960484,"[[10, 1, 2], [7, 0, 2], [1, 0, 6]]"
three_class,1,0,1,anova,LR,True,500,"{""C"": 0.01}",0.7801917726368962,0.5517241379310345,0.5631528964862298,0.6795093795093795,"[[7, 4, 2], [4, 5, 0], [3, 0, 4]]"
three_class,1,0,1,anova,LR,False,50,"{""C"": 1.0}",,0.5517241379310345,0.5584615384615385,0.7216931216931216,"[[5, 6, 2], [2, 7, 0], [0, 3, 4]]"
three_class,1,0,1,anova,LASSO,True,50,"{""C"": 0.5}",0.7301612643338274,0.4482758620689655,0.3571428571428571,0.7013870388870389,"[[10, 1, 2], [9, 0, 0], [3, 1, 3]]"
three_class,1,0,1,anova,LASSO,False,50,"{""C"": 1.0}",,0.4827586206896552,0.510006901311249,0.7085451585451586,"[[5, 6, 2], [5, 4, 0], [0, 2, 5]]"
three_class,1,0,1,anova,RF,True,500,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.8095738374452242,0.6896551724137931,0.7037412666215913,0.8025950900950901,"[[10, 3, 0], [4, 5, 0], [2, 0, 5]]"
three_class,1,0,1,anova,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6206896551724138,0.6234288587229764,0.741051541051541,"[[8, 1, 4], [3, 5, 1], [2, 0, 5]]"
three_class,1,0,1,anova,SVM,True,500,"{""C"": 10, ""gamma"": 0.0001}",0.7735146528563169,0.4827586206896552,0.4278499278499278,0.6909567284567285,"[[10, 2, 1], [8, 1, 0], [4, 0, 3]]"
three_class,1,0,1,anova,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.5172413793103449,0.3923444976076555,0.6708351833351833,"[[12, 0, 1], [9, 0, 0], [4, 0, 3]]"
three_class,1,0,1,mi,LR,True,100,"{""C"": 1}",0.7622222755982233,0.5172413793103449,0.5030864197530863,0.6191535316535317,"[[8, 4, 1], [5, 2, 2], [1, 1, 5]]"
three_class,1,0,1,mi,LR,False,50,"{""C"": 1.0}",,0.4827586206896552,0.4664477285166939,0.6129884004884004,"[[8, 4, 1], [7, 1, 1], [1, 1, 5]]"
three_class,1,0,1,mi,LASSO,True,100,"{""C"": 1}",0.7460606735096754,0.5172413793103449,0.4659197012138188,0.5828051578051578,"[[9, 3, 1], [4, 1, 4], [1, 1, 5]]"
three_class,1,0,1,mi,LASSO,False,50,"{""C"": 1.0}",,0.4482758620689655,0.4158730158730159,0.5922619047619048,"[[8, 4, 1], [8, 0, 1], [1, 1, 5]]"
three_class,1,0,1,mi,RF,True,500,"{""max_depth"": 10, ""min_samples_leaf"": 5}",0.82911225212518,0.7241379310344828,0.7305555555555556,0.8308358308358308,"[[11, 2, 0], [4, 5, 0], [2, 0, 5]]"
three_class,1,0,1,mi,RF,False,50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.6551724137931034,0.6645255803470814,0.8412823287823287,"[[10, 3, 0], [5, 4, 0], [1, 1, 5]]"
three_class,1,0,1,mi,SVM,True,10,"{""C"": 100, ""gamma"": ""scale""}",0.7393728097898354,0.7241379310344828,0.7127450980392157,0.8268430643430643,"[[10, 2, 1], [2, 5, 2], [0, 1, 6]]"
three_class,1,0,1,mi,SVM,False,50,"{""C"": 1.0, ""gamma"": ""scale""}",,0.3793103448275862,0.188034188034188,0.5958000333000334,"[[11, 2, 0], [9, 0, 0], [6, 1, 0]]"
three_class,2,0,2,none,LR,True,4968,"{""C"": 10}",0.6837942425006075,0.5862068965517241,0.594017094017094,0.682955932955933,"[[8, 5, 0], [3, 5, 1], [2, 1, 4]]"
three_class,2,0,2,none,LR,False,4968,"{""C"": 1.0}",,0.4827586206896552,0.4253246753246753,0.6603415103415103,"[[8, 5, 0], [4, 5, 0], [3, 3, 1]]"
three_class,2,0,2,none,LASSO,True,4968,"{""C"": 0.1}",0.6776293474662052,0.4827586206896552,0.4831541218637992,0.7286472786472787,"[[8, 4, 1], [7, 2, 0], [3, 0, 4]]"
three_class,2,0,2,none,LASSO,False,4968,"{""C"": 1.0}",,0.4827586206896552,0.4558526440879382,0.6542230917230917,"[[8, 4, 1], [4, 4, 1], [5, 0, 2]]"
three_class,2,0,2,none,RF,True,4968,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.8390209288589001,0.7586206896551724,0.7455322455322455,0.8574781699781701,"[[13, 0, 0], [5, 4, 0], [2, 0, 5]]"
three_class,2,0,2,none,RF,False,4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",,0.7241379310344828,0.7182539682539683,0.8657083657083656,"[[12, 1, 0], [5, 4, 0], [2, 0, 5]]"
three_class,2,0,2,none,SVM,True,4968,"{""C"": 10, ""gamma"": 0.0001}",0.7172177573006286,0.4827586206896552,0.4748338081671415,0.6698398823398822,"[[7, 1, 5], [4, 3, 2], [3, 0, 4]]"
