fold_id,jaccard_perm_vs_impurity,jaccard_perm_vs_anova
0,0.02564102564102564,0.02564102564102564
1,0.05263157894736842,0.0
2,0.14285714285714285,0.0
3,0.05263157894736842,0.0
4,0.0,0.0
