tuned,fs,clf,acc_mean,acc_sd,acc_ci_lo,acc_ci_hi,f1_mean,f1_sd,f1_ci_lo,f1_ci_hi,auc_mean,auc_sd,auc_ci_lo,auc_ci_hi,n_folds,k_median,k_iqr,params_mode,params_mode_freq
True,none,LR,0.5126108374384236,0.07750820354934067,0.48061702347445234,0.5446046514023949,0.5155261029968718,0.07860989966651273,0.48307753122658403,0.5479746747671597,0.654115718777594,0.07195689958963383,0.6244133704651426,0.6838180670900454,25,4968.0,4968-4968,"{""C"": 10}",0.84
False,none,LR,0.4973891625615763,0.0787249299698177,0.46489310861578154,0.529885216507371,0.48477030118124986,0.09435830295297883,0.44582110803278696,0.5237194943297128,0.6427857621108395,0.0779075066448425,0.6106271239299762,0.6749444002917028,25,4968.0,4968-4968,"{""C"": 1.0}",1.0
True,none,LASSO,0.5123152709359605,0.06771066175372202,0.4843656834558828,0.5402648584160382,0.48397802596733086,0.09118892468608415,0.4463370878681278,0.521618964066534,0.6894023968786795,0.06221490116625106,0.6637213478729085,0.7150834458844506,25,4968.0,4968-4968,"{""C"": 0.1}",0.76
False,none,LASSO,0.4792118226600986,0.06179591398366139,0.45370372306302503,0.5047199222571722,0.4736760912336672,0.06455688309770138,0.4470283195999603,0.5003238628673741,0.6500430102519885,0.05058595727152135,0.6291621533617346,0.6709238671422424,25,4968.0,4968-4968,"{""C"": 1.0}",1.0
True,none,RF,0.6900492610837439,0.08307843801531112,0.6557561673393232,0.7243423548281646,0.6814751666951807,0.09105251995636315,0.6438905337010717,0.7190597996892897,0.8443467472990914,0.046635310932953644,0.8250966370679716,0.8635968575302112,25,4968.0,4968-4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.56
False,none,RF,0.6983743842364533,0.09691899146878319,0.6583681908190812,0.7383805776538254,0.6899641576640954,0.10286117023710176,0.6475051534041494,0.7324231619240413,0.8344584260604826,0.05875056560032272,0.8102073844930148,0.8587094676279504,25,4968.0,4968-4968,"{""max_depth"": 10, ""min_samples_leaf"": 5}",1.0
True,none,SVM,0.4888669950738917,0.05864263398235062,0.46466050548864124,0.5130734846591422,0.4059516796362322,0.11513804505657488,0.35842503052004665,0.4534783287524177,0.6791640144883456,0.049608337538568616,0.6586866991902237,0.6996413297864675,25,4968.0,4968-4968,"{""C"": 1, ""gamma"": 0.0001}",0.4
False,none,SVM,0.5193103448275861,0.05818093391695248,0.4952944356625114,0.5433262539926608,0.4407306331005251,0.06655653103762357,0.4132574473654247,0.46820381883562556,0.6841153281764184,0.053870671605690604,0.6618786078482343,0.7063520485046025,25,4968.0,4968-4968,"{""C"": 1.0, ""gamma"": ""scale""}",1.0
True,anova,LR,0.5220197044334975,0.10208641561245327,0.47988050316463693,0.5641589057023582,0.5035810062766636,0.12445316997586786,0.45220926257601524,0.5549527499773119,0.7174152402894662,0.07587967157787733,0.6860936512841886,0.7487368292947438,25,200.0,100-200,"{""C"": 0.01}",0.68
False,anova,LR,0.5512807881773399,0.10217338882904277,0.5091056861291555,0.5934558902255244,0.5389630807852418,0.10638199932171977,0.49505074970859964,0.582875411861884,0.7135537888365178,0.08844910475831462,0.6770437928189234,0.7500637848541122,25,50.0,50-50,"{""C"": 1.0}",1.0
True,anova,LASSO,0.49172413793103453,0.07738437139920673,0.4597814393663722,0.5236668364956969,0.45119489779197947,0.10903872596625486,0.4061859238552783,0.49620387172868063,0.7018531047699004,0.07318300408395141,0.6716446453970033,0.7320615641427974,25,50.0,20-100,"{""C"": 0.5}",0.32
False,anova,LASSO,0.5096551724137931,0.0808424139101551,0.4762850640562518,0.5430252807713344,0.49465847537720575,0.08481151560169709,0.4596500023652387,0.5296669483891728,0.7273904746558992,0.07948895405528825,0.6945790470678941,0.7602019022439044,25,50.0,50-50,"{""C"": 1.0}",1.0
True,anova,RF,0.6360591133004926,0.09763307262450155,0.5957581616690859,0.6763600649318993,0.6284941114133669,0.10652320837360099,0.5845234921049114,0.6724647307218223,0.7972146239676092,0.07385447444782137,0.7667289952510787,0.8277002526841397,25,500.0,500-500,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.36
False,anova,RF,0.5246305418719213,0.1090828787371255,0.47960334256716175,0.5696577411766808,0.5101377383287058,0.11571875608163984,0.46237138348264967,0.557904093174762,0.7194977048296929,0.06942987419189145,0.690838461333961,0.7481569483254248,25,50.0,50-50,"{""max_depth"": 10, ""min_samples_leaf"": 5}",1.0
True,anova,SVM,0.5067487684729064,0.06682488131946629,0.4791648131856644,0.5343327237601484,0.4144520560163752,0.1316405490214529,0.3601135080609152,0.4687906039718352,0.7127552353702288,0.06547425243526955,0.6857287922852642,0.7397816784551934,25,200.0,100-200,"{""C"": 10, ""gamma"": 0.0001}",0.4
False,anova,SVM,0.5094088669950739,0.06659730663124364,0.4819188499221691,0.5368988840679788,0.41318480911236327,0.09244386232651651,0.37502585821495593,0.4513437600097706,0.712961043099201,0.06898055161592348,0.6844872708471186,0.7414348153512835,25,50.0,50-50,"{""C"": 1.0, ""gamma"": ""scale""}",1.0
True,mi,LR,0.5498522167487684,0.08076376838997479,0.5165145716664228,0.583189861831114,0.5255047585311887,0.10358771852471808,0.4827458498780899,0.5682636671842876,0.7089111890595194,0.07819280767405268,0.6766347844018926,0.7411875937171463,25,50.0,20-100,"{""C"": 10}",0.36
False,mi,LR,0.5944827586206897,0.07337025284765047,0.5641970067569796,0.6247685104843997,0.5876161570145363,0.0787830002080687,0.5550961328525016,0.620136181176571,0.7289601613945378,0.07644687511672836,0.6974044422756632,0.7605158805134123,25,50.0,50-50,"{""C"": 1.0}",1.0
True,mi,LASSO,0.5428571428571428,0.09576591500886258,0.5033269160091862,0.5823873697050994,0.5125054899690532,0.12921637242004733,0.45916759293374787,0.5658433870043585,0.7120015240484614,0.06422916762755781,0.685489026712245,0.7385140213846778,25,50.0,20-100,"{""C"": 5}",0.52
False,mi,LASSO,0.572167487684729,0.0854477777876858,0.5368963785506659,0.6074385968187922,0.5468899354211952,0.10855456008478864,0.5020808153377636,0.5916990555046269,0.7214482586638712,0.07687891806140819,0.6897142009825794,0.753182316345163,25,50.0,50-50,"{""C"": 1.0}",1.0
