modality,fs,clf,acc_mean,acc_sd,acc_ci_lo,acc_ci_hi,f1_mean,f1_sd,f1_ci_lo,f1_ci_hi,auc_mean,auc_sd,auc_ci_lo,auc_ci_hi,n_folds,k_median,k_iqr,params_mode,params_mode_freq
EEG-only,anova,LR,0.5222167487684729,0.09232790735285902,0.48410566173173464,0.5603278358052112,0.49900693478661623,0.12027824277819153,0.4493585163336051,0.5486553532396274,0.7193398860607506,0.08462448822165801,0.6844086141569131,0.7542711579645881,25,100.0,50-200,"{""C"": 0.01}",0.72
EEG-only,none,RF,0.5433497536945813,0.08766722879365978,0.5071625002127514,0.5795370071764111,0.5249018364813832,0.08456348626247219,0.48999574494870973,0.5598079280140568,0.7680299111782692,0.06261138263664139,0.742185202665208,0.7938746196913304,25,3456.0,3456-3456,"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.36
fNIRS-only,anova,LR,0.45694581280788177,0.10005509010175892,0.4156451014989652,0.4982465241167983,0.43083901839534666,0.10075987279507562,0.3892473870890308,0.47243064970166254,0.6274175418521394,0.09056633778294228,0.590033594995713,0.6648014887085658,25,200.0,100-500,"{""C"": 0.01}",0.4
fNIRS-only,none,RF,0.665024630541872,0.08911072257660875,0.6282415321115726,0.7018077289721714,0.6535401688780064,0.09514125262573696,0.614267789988857,0.6928125477671557,0.8124837647088035,0.06009924432217625,0.7876760159265093,0.8372915134910976,25,1512.0,1512-1512,"{""max_depth"": 5, ""min_samples_leaf"": 5}",0.4
Multimodal,anova,LR,0.5220197044334975,0.10208641561245325,0.47988050316463693,0.5641589057023582,0.5035810062766636,0.12445316997586786,0.45220926257601524,0.5549527499773119,0.7174152402894662,0.07587967157787733,0.6860936512841886,0.7487368292947438,25,200.0,100-200,"{""C"": 0.01}",0.68
Multimodal,none,RF,0.6900492610837439,0.08307843801531112,0.6557561673393232,0.7243423548281646,0.6814751666951807,0.09105251995636315,0.6438905337010717,0.7190597996892897,0.8443467472990914,0.04663531093295364,0.8250966370679716,0.8635968575302112,25,4968.0,4968-4968,"{""max_depth"": 5, ""min_samples_leaf"": 1}",0.56
