fold_id,k,acc,f1,auc
0,10,0.5172413793103449,0.4564598042858912,0.7111647611647612
0,20,0.3793103448275862,0.3490422620857403,0.6405289155289156
0,30,0.4137931034482758,0.3793650793650793,0.657571595071595
0,50,0.4482758620689655,0.4501424501424502,0.6353882228882229
0,75,0.5172413793103449,0.4852801519468186,0.7097041847041847
0,100,0.5172413793103449,0.4840805717998699,0.6813362563362563
0,150,0.5172413793103449,0.4761904761904761,0.6221953971953972
0,200,0.5172413793103449,0.4888473908081751,0.6253177378177378
0,300,0.4137931034482758,0.3661822048918823,0.6108312983312983
0,500,0.5517241379310345,0.5405128205128206,0.6891247641247641
1,10,0.4482758620689655,0.4333333333333333,0.6580146705146706
1,20,0.4482758620689655,0.4538461538461538,0.6816970066970067
1,30,0.4827586206896552,0.4594294594294594,0.6509347134347134
1,50,0.5517241379310345,0.5584615384615385,0.7216931216931216
1,75,0.4827586206896552,0.4886128364389234,0.709099234099234
1,100,0.5172413793103449,0.5344932844932845,0.7080627705627706
1,150,0.5172413793103449,0.5259147869674184,0.6691854441854442
1,200,0.5517241379310345,0.5598484848484848,0.7035459910459911
1,300,0.5172413793103449,0.5286994660564455,0.6942233692233692
1,500,0.4482758620689655,0.4628456510809451,0.6237577237577238
2,10,0.6551724137931034,0.6549707602339181,0.7684579309579309
2,20,0.6551724137931034,0.6549707602339181,0.7901422651422653
2,30,0.7241379310344828,0.7261904761904763,0.8282240907240906
2,50,0.7241379310344828,0.7203029359892105,0.8512617012617012
2,75,0.5517241379310345,0.5831559744603223,0.744966144966145
2,100,0.4827586206896552,0.5126262626262627,0.6666768416768417
2,150,0.4482758620689655,0.4830917874396134,0.629987604987605
2,200,0.5172413793103449,0.5052910052910052,0.5853835978835978
2,300,0.4827586206896552,0.4580350658782031,0.6009342509342509
2,500,0.6206896551724138,0.6031746031746031,0.6866226366226366
3,10,0.5517241379310345,0.5477329687856004,0.6739935846746992
3,20,0.5172413793103449,0.4837444655281467,0.7060025286031477
3,30,0.4482758620689655,0.404040404040404,0.6478147239757147
3,50,0.6551724137931034,0.6529914529914529,0.7437240605971255
3,75,0.6551724137931034,0.6529914529914529,0.754950656498644
3,100,0.6551724137931034,0.6565656565656566,0.786103404679256
3,150,0.6551724137931034,0.663216011042098,0.8312843159592385
3,200,0.6206896551724138,0.6468253968253969,0.82222914684215
3,300,0.6206896551724138,0.6549206349206349,0.845169965913
3,500,0.5862068965517241,0.6107817303469477,0.7418233641143859
4,10,0.6071428571428571,0.5714285714285715,0.8101764828738514
4,20,0.6428571428571429,0.6218264494126564,0.8719759468114731
4,30,0.6428571428571429,0.6218264494126564,0.858157298006922
4,50,0.6785714285714286,0.6654456654456654,0.8327173340096272
4,75,0.6428571428571429,0.6305555555555555,0.803233903210407
4,100,0.5714285714285714,0.5766158315177923,0.8314710387078809
4,150,0.6785714285714286,0.702020202020202,0.8487239925209851
4,200,0.5357142857142857,0.5523591587664815,0.8090402096511119
4,300,0.5,0.4682539682539682,0.6614390639296654
4,500,0.4285714285714285,0.3831417624521072,0.6290813840155947
5,10,0.5862068965517241,0.533910533910534,0.6589170089170088
5,20,0.5517241379310345,0.490744549568079,0.687050912050912
5,30,0.5172413793103449,0.5074374577417173,0.726007326007326
5,50,0.5862068965517241,0.5555555555555555,0.7457722832722832
5,75,0.6206896551724138,0.595352016404648,0.7199291449291448
5,100,0.5172413793103449,0.4971941638608305,0.6895821770821771
5,150,0.4827586206896552,0.4253246753246753,0.6236508861508862
