fold_id,block,base_auc,delta_auc
0,EEG,0.866934916934917,0.07488927738927746
0,fNIRS,0.866934916934917,0.28294936544936544
1,EEG,0.8148693898693898,0.005045671920671924
1,fNIRS,0.8148693898693898,0.1826738307988308
2,EEG,0.8574781699781701,0.08801258926258934
2,fNIRS,0.8574781699781701,0.28347083472083473
3,EEG,0.8810683124924611,0.16387698301010992
3,fNIRS,0.8810683124924611,0.24194781740447371
4,EEG,0.8147768976011457,0.023833952440625316
4,fNIRS,0.8147768976011457,0.269839622618053
5,EEG,0.8771127021127021,0.10625851000851001
5,fNIRS,0.8771127021127021,0.3059558034558035
6,EEG,0.8818371443371443,0.0905310892810893
6,fNIRS,0.8818371443371443,0.22039474414474416
7,EEG,0.7682609057609057,0.016194176194176124
7,fNIRS,0.7682609057609057,0.1909046971546971
8,EEG,0.8868589700633045,0.12574263198102215
8,fNIRS,0.8868589700633045,0.231025770754873
9,EEG,0.8554185563114135,0.06911319717945665
9,fNIRS,0.8554185563114135,0.24807995932291052
10,EEG,0.8418202168202168,0.08326710326710327
10,fNIRS,0.8418202168202168,0.2666953879453879
11,EEG,0.8638412513412512,0.09252455877455867
11,fNIRS,0.8638412513412512,0.25638111888111875
12,EEG,0.8937853812853813,0.10128565878565883
12,fNIRS,0.8937853812853813,0.24406406093906102
13,EEG,0.8502278423331054,0.13147458664486522
13,fNIRS,0.8502278423331054,0.25191155249978775
14,EEG,0.8451436130007558,0.057930975752874224
14,fNIRS,0.8451436130007558,0.243251171082468
15,EEG,0.821509509009509,0.09555865430865434
15,fNIRS,0.821509509009509,0.23744133181633184
16,EEG,0.7205988455988456,0.07326557701557701
16,fNIRS,0.7205988455988456,0.17738562363562357
17,EEG,0.8159581159581158,0.007837579087578973
17,fNIRS,0.8159581159581158,0.2608694083694082
18,EEG,0.9156518747850018,0.07293773649810806
18,fNIRS,0.9156518747850018,0.26668808831347535
19,EEG,0.8423023083502407,0.07976128316823802
19,fNIRS,0.8423023083502407,0.25343275102438634
20,EEG,0.8773661523661523,0.05108719983719985
20,fNIRS,0.8773661523661523,0.2615344840344839
21,EEG,0.9048590298590299,0.11182178932178936
21,fNIRS,0.9048590298590299,0.27575505513005516
22,EEG,0.8499167499167499,0.037034400784400776
22,fNIRS,0.8499167499167499,0.2924875818625819
23,EEG,0.7992690058479534,0.006324389404884878
23,fNIRS,0.7992690058479534,0.2603332194121669
24,EEG,0.761802820543422,0.12247266231053815
24,fNIRS,0.761802820543422,0.10517284033496428
